CRH18,CRH3,CRH9,CRH14,CRH4,CRH19,CRH15,DELETE
20.703125,100.0,48.632813,99.951172,7.177734,100.0,29.150391,8.496094
34.863281,70.214844,68.652344,99.951172,5.664063,89.550781,78.955078,8.837891
40.478516,36.035156,40.722656,99.951172,5.566406,1.8554689999999998,100.0,6.982422
3.8085940000000003,92.773438,5.566406,100.0,11.865234,96.728516,100.0,6.884766
9.130859,95.3125,16.699219,100.0,2.392578,99.951172,100.0,0.9277340000000001
1.464844,100.0,26.611328000000004,99.951172,29.443359,99.951172,100.0,7.128906
3.3203129999999996,2.783203,2.832031,99.951172,12.451172,99.951172,100.0,10.205078
9.912109,99.951172,99.951172,100.0,13.476563,99.951172,100.0,4.980469
10.595703,99.951172,99.951172,100.0,2.978516,99.951172,79.785156,2.392578
39.550781,99.951172,99.951172,99.951172,19.921875,92.285156,73.583984,9.033203
100.0,99.951172,34.130859,100.0,100.0,99.951172,100.0,22.265625
51.513672,99.951172,70.361328,100.0,99.951172,99.951172,100.0,13.427734
18.017578,99.951172,100.0,99.951172,40.039063,84.667969,100.0,28.90625
8.349609,99.951172,100.0,99.951172,11.572266,69.873047,100.0,17.285156
47.753906,99.951172,86.865234,99.951172,89.208984,100.0,100.0,11.132813
22.167969,77.636719,13.671875,57.958983999999994,33.544922,100.0,100.0,24.316406
21.679688,83.056641,99.951172,99.951172,100.0,3.8085940000000003,100.0,17.773438
8.642578,100.0,50.976563,38.671875,99.951172,80.615234,100.0,9.082031
35.253906,100.0,90.917969,98.632813,7.568359,95.654297,100.0,5.322266
17.529297,100.0,99.951172,99.951172,85.302734,65.625,66.650391,6.445313
30.126953000000004,100.0,93.066406,99.951172,4.296875,72.119141,99.951172,12.011719
15.039063,100.0,100.0,99.951172,40.283203,83.740234,15.917969,12.841797
40.527344,100.0,1.6601560000000002,99.951172,100.0,99.951172,100.0,1.269531
99.951172,100.0,59.47265600000001,99.951172,99.951172,99.951172,100.0,21.289063
25.195313,100.0,65.722656,99.951172,8.789063,99.951172,100.0,18.652344
100.0,100.0,54.78515600000001,36.621094,24.365234,99.951172,58.30078100000001,1.6601560000000002
11.865234,100.0,61.914063,99.951172,34.667969,99.951172,99.951172,9.960938
19.921875,100.0,94.873047,7.373047,10.888672,64.257813,99.951172,17.480469
56.005858999999994,100.0,48.974609,100.0,13.476563,99.951172,100.0,8.642578
16.503906,3.955078,39.550781,10.546875,9.228516,99.951172,99.951172,7.763672
17.919922,46.777344,68.505859,71.142578,1.025391,99.951172,30.224609,5.419922
45.556641,44.775391,100.0,100.0,100.0,99.951172,100.0,18.017578
38.574219,13.769531,100.0,31.640625,51.5625,99.951172,100.0,15.966797
38.232422,79.199219,27.929688,13.037109,99.951172,64.746094,100.0,17.675781
5.664063,56.201172,78.955078,99.951172,100.0,100.0,99.951172,6.933594
13.671875,9.472656,49.951172,99.951172,100.0,100.0,99.951172,8.886719
11.865234,99.951172,99.951172,99.951172,99.951172,55.859375,100.0,1.708984
31.201171999999996,99.951172,99.951172,99.951172,99.951172,99.951172,100.0,5.078125
27.929688,99.951172,100.0,99.951172,99.951172,99.951172,87.402344,7.421875
16.601563,99.951172,100.0,79.492188,100.0,20.703125,99.951172,10.15625
11.328125,4.345703,26.757813,15.136719,100.0,100.0,99.951172,0.34179699999999996
15.869141,99.951172,99.951172,56.15234399999999,21.240234,100.0,99.951172,3.271484
29.443359,99.951172,21.09375,99.951172,99.951172,100.0,99.951172,7.421875
16.845703,52.001953,100.0,99.951172,80.908203,100.0,99.951172,2.832031
30.322266,62.01171899999999,27.001953000000004,99.951172,76.171875,100.0,99.951172,8.056641
27.441406,5.322266,99.951172,99.951172,89.941406,100.0,99.951172,8.154297
13.330078,6.054688,95.751953,100.0,2.587891,65.771484,15.917969,6.494141
13.134766,31.103516,63.330078,100.0,5.126953,49.316406,8.203125,0.292969
10.449219,11.376953,79.6875,100.0,99.951172,64.257813,64.501953,7.763672
8.056641,31.347656,54.78515600000001,100.0,100.0,86.474609,19.238281,1.464844
10.351563,52.978516000000006,16.113281,100.0,100.0,100.0,45.263672,4.296875
0.6835939999999999,32.421875,43.017578,100.0,13.916016,40.380859,37.646484,9.912109
23.291016,24.707031,10.888672,100.0,99.951172,30.224609,27.880859,2.294922
25.634766,37.011719,1.025391,100.0,100.0,36.962891,7.275391,7.275391
35.839844,24.267578,18.310547,100.0,3.173828,32.763672,21.09375,6.103516
13.232422,32.568359,2.636719,60.83984399999999,99.951172,62.59765600000001,100.0,4.052734
20.654297,16.699219,12.548828,100.0,42.285156,94.824219,100.0,11.474609
53.955078,16.845703,6.982422,14.453125,100.0,4.199219,53.515625,0.34179699999999996
