Rat4,Rat19,Rat15,Rat18,Rat3,Rat9,Rat14
52.685547,41.845703,49.414063,99.951172,5.419922,4.345703,99.951172
53.369141000000006,75.585938,60.302733999999994,99.951172,6.298828,99.951172,99.951172
24.804688,85.009766,16.943359,99.951172,7.373047,99.951172,99.951172
16.796875,10.449219,10.205078,99.951172,5.859375,99.121094,99.951172
49.414063,17.724609,3.3691410000000004,99.951172,11.71875,96.630859,99.951172
54.296875,1.074219,98.535156,99.951172,10.205078,47.753906,99.951172
30.810546999999996,99.951172,40.283203,99.951172,3.125,42.578125,27.392578000000004
26.953125,29.980469,2.880859,99.951172,8.007813,74.316406,99.365234
41.894531,98.242188,7.275391,76.611328,2.929688,99.951172,99.951172
40.771484,24.755859,13.037109,38.623047,3.4179690000000003,98.730469,98.632813
89.257813,99.951172,20.605469,4.394531,7.6171880000000005,98.632813,99.316406
55.56640600000001,99.365234,24.511719,98.535156,6.787109,63.623047,99.072266
62.890625,99.21875,27.734375,99.169922,2.294922,96.484375,98.876953
53.271483999999994,99.951172,34.667969,98.974609,5.957031,51.123047,98.828125
99.951172,13.232422,91.552734,98.730469,7.177734,6.494141,98.535156
99.951172,18.212891,29.882813,29.980469,6.884766,20.654297,98.242188
17.96875,50.488281,21.142578,47.607422,4.199219,10.546875,98.535156
5.859375,0.439453,65.039063,32.861328,2.099609,17.333984,44.824219
31.054688,93.212891,98.144531,53.759766000000006,10.400391,49.121094,79.101563
86.816406,82.470703,12.597656,79.736328,9.082031,36.71875,0.732422
27.490234,21.728516,36.425781,7.128906,29.443359,7.910156,99.023438
14.404297,14.257813,25.244141,42.871094,98.974609,9.082031,25.683594
99.951172,9.667969,38.574219,55.273438,98.828125,17.236328,99.023438
47.363281,7.519531,50.927734,55.664063,97.167969,15.673828,99.267578
2.197266,23.095703,95.361328,98.193359,99.951172,3.6621089999999996,99.267578
3.90625,14.208984,83.59375,95.800781,99.951172,2.392578,99.267578
4.394531,96.044922,15.673828,99.121094,13.818359,2.734375,98.144531
1.3671879999999998,42.431641,17.236328,99.023438,99.951172,3.466797,40.332031
9.423828,99.951172,36.816406,99.21875,99.951172,0.6347659999999999,99.951172
16.552734,23.535156,45.410156,99.365234,26.171875,1.171875,99.951172
9.472656,76.953125,61.865233999999994,99.267578,98.095703,10.742188,20.556641
0.292969,86.035156,23.095703,18.798828,76.123047,24.267578,21.142578
3.515625,8.691406,31.054688,0.146484,44.433594,13.867188,50.830078
10.742188,99.316406,73.730469,99.365234,7.128906,18.457031,36.865234
17.626953,97.65625,1.611328,99.267578,19.287109,9.521484,31.445313
72.753906,29.736328000000004,14.208984,99.414063,0.5371090000000001,4.345703,12.548828
97.607422,8.837891,7.714844,99.267578,3.027344,3.90625,99.267578
3.564453,57.275391000000006,86.474609,99.21875,8.203125,3.955078,99.121094
13.574219,73.779297,81.884766,99.267578,26.855469,0.78125,97.851563
38.330078,7.519531,15.820313,99.267578,80.273438,2.587891,66.015625
36.230469,8.007813,37.988281,99.414063,57.275391000000006,1.318359,99.951172
21.777344,78.710938,11.621094,27.783203000000004,35.644531,0.390625,99.951172
32.421875,2.441406,96.289063,58.544922,48.144531,0.6835939999999999,99.951172
99.951172,99.951172,42.626953,74.072266,20.458984,6.005859,99.951172
99.560547,37.011719,24.462891,99.951172,26.855469,13.623047,99.951172
99.560547,97.998047,99.951172,99.951172,20.605469,4.394531,99.951172
99.511719,0.244141,57.226563,99.951172,96.826172,30.224609,99.951172
99.560547,39.941406,28.759766,99.951172,60.693358999999994,5.078125,99.951172
99.560547,49.169922,22.460938,99.951172,99.951172,7.275391,99.414063
99.560547,56.298828,62.01171899999999,85.498047,87.109375,1.3671879999999998,99.267578
99.560547,99.951172,98.632813,71.240234,44.726563,5.029297,79.003906
99.707031,99.21875,90.869141,11.474609,8.447266,1.464844,55.224608999999994
99.609375,99.169922,12.451172,57.470703,73.193359,5.761719,97.65625
99.560547,99.951172,41.992188,90.136719,98.486328,6.738281,97.802734
99.560547,92.285156,99.951172,12.011719,58.837891000000006,3.3203129999999996,58.544922
99.951172,75.683594,99.951172,42.041016,43.505859,1.6601560000000002,36.181641
99.658203,5.419922,50.634766,2.832031,32.958984,7.421875,20.751953
99.707031,40.283203,82.080078,18.994141,77.832031,4.150391,61.523438
92.138672,1.9042970000000001,37.939453,24.414063,97.900391,5.957031,22.607422
99.951172,7.275391,6.738281,6.8359380000000005,99.951172,0.8300780000000001,70.751953
99.951172,8.398438,29.345703000000004,26.416016,53.955078,8.300781,98.828125
99.951172,2.734375,99.951172,67.96875,60.15625,3.466797,41.699219
75.634766,0.732422,1.953125,50.048828,26.5625,0.09765599999999999,12.548828
99.951172,55.615233999999994,98.681641,1.318359,15.234375,2.099609,10.498047
99.951172,52.880858999999994,97.802734,5.46875,34.863281,0.732422,66.894531
99.951172,25.390625,99.316406,8.886719,8.837891,1.513672,99.951172
99.951172,14.208984,99.951172,16.894531,14.746094,0.976563,1.3671879999999998
