,,,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI
Rat17,Female,B,0.0,0.0,58.0,22.0,12.0,0.0,26.0,22.0,62.0,26.0,36.0,64.0,40.0,62.0,30.0,54.0,10.0,0.0,96.0,74.0,10.0,52.0,0.0,12.0,0.0,2.0,20.0,62.0,10.0,44.0,32.0,24.0,58.0,0.0,58.0,24.0,18.0,52.0,26.0,88.0,56.0,42.0,42.0,72.0,58.0,24.666666666666668,16.0,7.333333333333333,22.0,12.666666666666666,18.666666666666668,11.333333333333334,8.666666666666666,42.0,42.0,47.333333333333336,33.333333333333336,30.0,35.333333333333336,38.666666666666664,30.666666666666668,20.666666666666668,24.0,40.666666666666664,55.333333333333336,56.666666666666664,34.666666666666664,16.666666666666668,16.666666666666668,40.0,74.0,32.0,15.333333333333334,22.666666666666668,63.333333333333336,36.0,48.666666666666664,38.0,43.333333333333336,24.666666666666668,24.0,18.666666666666668,50.0,47.333333333333336,84.66666666666667,34.0,71.33333333333333,38.666666666666664,86.0,56.0
Rat18,Female,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,34.0,0.0,0.0,0.0,50.0,20.0,20.0,52.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,42.0,22.0,0.0,0.0,18.0,32.0,0.0,0.0,0.0,44.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,0.0,15.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,6.666666666666667,0.0,0.0,12.666666666666666,5.333333333333333,14.0,0.0,7.333333333333333,3.3333333333333335,0.0,18.0,25.333333333333332,0.0,0.0,0.0,6.666666666666667,16.666666666666668,4.666666666666667,0.0,3.3333333333333335,0.0,0.0,10.0,7.333333333333333,24.0,0.0,0.0
Rat19,Female,B,26.0,0.0,16.0,0.0,0.0,14.0,0.0,18.0,10.0,40.0,18.0,68.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,78.0,98.0,32.0,58.0,14.0,16.0,54.0,20.0,10.0,14.0,10.0,24.0,14.0,48.0,16.0,34.0,10.0,80.0,30.0,14.0,8.0,0.0,10.0,18.0,42.0,8.0,14.0,14.666666666666666,40.0,34.0,26.666666666666668,8.0,4.666666666666667,9.333333333333334,21.333333333333332,29.333333333333332,5.333333333333333,4.0,16.0,6.0,13.333333333333334,16.0,0.0,9.333333333333334,19.333333333333332,56.666666666666664,63.333333333333336,44.666666666666664,16.0,10.666666666666666,34.666666666666664,22.666666666666668,24.666666666666668,13.333333333333334,7.333333333333333,21.333333333333332,9.333333333333334,22.0,43.333333333333336,28.666666666666668,30.0,72.0,37.333333333333336,6.666666666666667,28.666666666666668,24.0,20.666666666666668,43.333333333333336,16.0,37.333333333333336
Rat2,Male,A,0.0,12.0,0.0,10.0,12.0,0.0,0.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,36.0,10.0,0.0,20.0,10.0,0.0,16.0,6.0,0.0,34.0,42.0,26.0,0.0,6.0,12.0,20.0,16.0,38.0,56.0,22.0,0.0,14.0,72.0,18.0,50.0,60.0,30.0,64.0,26.0,14.0,18.0,4.0,0.0,4.0,11.333333333333334,4.666666666666667,3.3333333333333335,6.666666666666667,0.0,16.666666666666668,7.333333333333333,9.333333333333334,0.0,3.3333333333333335,37.333333333333336,3.3333333333333335,0.0,0.0,26.666666666666668,10.666666666666666,25.333333333333332,12.666666666666666,18.666666666666668,18.666666666666668,3.3333333333333335,19.333333333333332,11.333333333333334,14.666666666666666,29.333333333333332,26.0,24.666666666666668,12.666666666666666,13.333333333333334,18.0,16.666666666666668,21.333333333333332,21.333333333333332,24.0,14.666666666666666,46.666666666666664,25.333333333333332,36.666666666666664,22.0,19.333333333333332,36.0,32.0
Rat20,Female,B,20.0,62.0,64.0,90.0,90.0,102.0,98.0,80.0,42.0,12.0,0.0,92.0,0.0,0.0,0.0,0.0,10.0,42.0,0.0,80.0,70.0,0.0,24.0,62.0,0.0,0.0,10.0,0.0,0.0,10.0,24.0,0.0,32.0,72.0,48.0,10.0,12.0,12.0,0.0,28.0,26.0,0.0,50.0,46.0,64.0,46.0,41.333333333333336,86.66666666666667,83.33333333333333,76.66666666666667,84.66666666666667,96.0,89.33333333333333,4.0,28.666666666666668,18.0,30.0,20.0,11.333333333333334,18.0,12.0,7.333333333333333,0.0,0.0,86.0,0.0,24.666666666666668,6.666666666666667,24.666666666666668,3.3333333333333335,22.0,9.333333333333334,27.333333333333332,3.3333333333333335,0.0,18.0,11.333333333333334,14.666666666666666,8.0,48.0,18.666666666666668,4.0,18.666666666666668,12.666666666666666,0.0,51.333333333333336,25.333333333333332,12.0,20.0,12.666666666666666
Rat21,Female,B,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,12.0,10.0,0.0,0.0,24.0,0.0,0.0,0.0,19.333333333333332,3.3333333333333335,0.0,0.0,0.0,0.0,7.333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,6.666666666666667,3.3333333333333335,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.666666666666666,0.0,0.0,0.0,8.666666666666666,6.666666666666667,0.0,22.666666666666668,4.0,6.666666666666667,6.666666666666667,0.0,0.0,3.3333333333333335,16.0
Rat3,Male,A,0.0,0.0,28.0,0.0,20.0,0.0,14.0,48.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,20.0,62.0,0.0,22.0,70.0,10.0,10.0,0.0,10.0,36.0,0.0,0.0,68.0,0.0,0.0,0.0,10.0,0.0,22.0,0.0,52.0,24.0,36.0,64.0,10.0,10.0,36.0,0.0,60.0,16.0,0.0,13.333333333333334,4.0,3.3333333333333335,9.333333333333334,6.0,0.0,46.666666666666664,0.0,19.333333333333332,10.0,0.0,4.0,22.666666666666668,8.0,19.333333333333332,3.3333333333333335,16.0,30.0,36.0,0.0,20.0,3.3333333333333335,43.333333333333336,55.333333333333336,16.666666666666668,19.333333333333332,38.0,30.666666666666668,28.0,50.666666666666664,3.3333333333333335,9.333333333333334,24.666666666666668,6.0,6.666666666666667,50.0,17.333333333333332,20.0,24.0,8.0,12.0,53.333333333333336,11.333333333333334,40.666666666666664
Rat4,Male,A,0.0,42.0,94.0,52.0,10.0,0.0,38.0,34.0,0.0,24.0,44.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,46.0,30.666666666666668,61.333333333333336,70.0,56.666666666666664,32.0,0.0,5.333333333333333,43.333333333333336,0.0,8.0,3.3333333333333335,0.0,4.0,0.0,0.0,0.0,3.3333333333333335,0.0,7.333333333333333,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,3.3333333333333335,0.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,6.666666666666667,0.0,17.333333333333332
Rat5,Male,A,0.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,16.0,0.0,0.0,25.333333333333332,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,0.0,0.0,4.666666666666667,0.0,0.0,5.333333333333333,3.3333333333333335,0.0,0.0,0.0,0.0,19.333333333333332,12.666666666666666,0.0,0.0,8.666666666666666,0.0,12.0,8.0,9.333333333333334,4.666666666666667,4.666666666666667,6.0,9.333333333333334,0.0,7.333333333333333,0.0
Rat6,Male,A,46.0,12.0,66.0,30.0,78.0,12.0,68.0,8.0,32.0,0.0,46.0,18.0,0.0,28.0,14.0,46.0,14.0,0.0,10.0,0.0,0.0,0.0,34.0,74.0,22.0,10.0,32.0,58.0,0.0,46.0,0.0,0.0,44.0,0.0,0.0,16.0,0.0,0.0,60.0,62.0,16.0,48.0,10.0,70.0,50.0,11.333333333333334,51.333333333333336,76.66666666666667,76.0,99.33333333333333,74.0,86.0,8.666666666666666,8.666666666666666,14.666666666666666,18.666666666666668,8.666666666666666,0.0,0.0,11.333333333333334,10.666666666666666,4.0,4.0,3.3333333333333335,3.3333333333333335,0.0,13.333333333333334,34.0,22.666666666666668,0.0,6.666666666666667,34.666666666666664,30.0,19.333333333333332,34.666666666666664,18.0,26.0,43.333333333333336,13.333333333333334,14.666666666666666,6.0,0.0,22.0,18.0,32.666666666666664,56.666666666666664,21.333333333333332,81.33333333333333,84.66666666666667,32.666666666666664
Rat7,Female,A,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,6.0,0.0,0.0,0.0,0.0,48.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,70.0,0.0,94.0,32.0,28.0,16.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,3.3333333333333335,0.0,0.0,0.0,7.333333333333333,4.0,0.0,0.0,18.0,3.3333333333333335,6.666666666666667,0.0,39.333333333333336,32.0,4.0,11.333333333333334,0.0,0.0,32.0,5.333333333333333,14.666666666666666,7.333333333333333,0.0,22.0,30.666666666666668,8.0,6.0,4.666666666666667,3.3333333333333335,5.333333333333333,19.333333333333332,42.0,20.666666666666668,16.0,20.666666666666668,0.0,9.333333333333334,15.333333333333334,17.333333333333332
Rat8,Female,A,0.0,18.0,32.0,70.0,28.0,0.0,60.0,60.0,30.0,30.0,48.0,18.0,40.0,48.0,0.0,56.0,60.0,28.0,22.0,24.0,58.0,68.0,60.0,10.0,36.0,46.0,26.0,30.0,0.0,34.0,22.0,52.0,24.0,28.0,30.0,10.0,88.0,98.0,66.0,44.0,50.0,38.0,56.0,46.0,36.0,19.333333333333332,24.0,27.333333333333332,32.0,38.0,40.0,27.333333333333332,22.666666666666668,36.666666666666664,25.333333333333332,29.333333333333332,25.333333333333332,27.333333333333332,18.0,32.666666666666664,18.666666666666668,28.666666666666668,26.0,24.666666666666668,14.0,20.0,33.333333333333336,31.333333333333332,38.0,29.333333333333332,43.333333333333336,45.333333333333336,26.666666666666668,36.0,26.666666666666668,31.333333333333332,53.333333333333336,42.0,16.0,50.0,22.666666666666668,84.66666666666667,55.333333333333336,40.666666666666664,26.0,27.333333333333332,40.666666666666664,38.0,38.0,25.333333333333332
Rat9,Female,A,30.0,98.0,100.0,100.0,96.0,70.0,44.0,38.0,36.0,28.0,78.0,46.0,10.0,14.0,68.0,50.0,14.0,0.0,20.0,10.0,28.0,66.0,20.0,50.0,30.0,72.0,28.0,78.0,4.0,0.0,0.0,56.0,54.0,78.0,4.0,30.0,66.0,28.0,32.0,78.0,46.0,38.0,66.0,50.0,74.0,98.0,99.33333333333333,98.0,99.33333333333333,100.0,22.0,56.666666666666664,51.333333333333336,22.0,0.0,22.666666666666668,14.0,44.666666666666664,6.0,14.0,8.0,12.666666666666666,8.0,24.666666666666668,30.0,43.333333333333336,55.333333333333336,21.333333333333332,18.0,31.333333333333332,50.0,32.0,15.333333333333334,26.0,41.333333333333336,10.666666666666666,56.0,33.333333333333336,72.0,65.33333333333333,19.333333333333332,36.666666666666664,32.666666666666664,35.333333333333336,39.333333333333336,26.0,76.66666666666667,82.0,49.333333333333336,66.0
