,,,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,CS,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI,ISI
Rat17,Female,B,26.0,0.0,10.0,12.0,0.0,14.0,82.0,34.0,36.0,72.0,42.0,32.0,20.0,16.0,56.0,72.0,86.0,74.0,22.0,0.0,48.0,56.0,64.0,50.0,76.0,18.0,100.0,100.0,94.0,34.0,54.0,52.0,74.0,76.0,40.0,62.0,78.0,0.0,0.0,54.0,68.0,48.0,68.0,92.0,68.0,26.0,19.333333333333332,16.666666666666668,38.0,51.333333333333336,15.333333333333334,17.333333333333332,58.0,42.0,56.666666666666664,34.666666666666664,28.0,61.333333333333336,22.0,50.666666666666664,52.0,44.666666666666664,24.0,44.666666666666664,33.333333333333336,4.0,35.333333333333336,40.666666666666664,10.666666666666666,44.666666666666664,71.33333333333333,93.33333333333333,96.66666666666667,61.333333333333336,36.666666666666664,28.0,70.0,68.66666666666667,43.333333333333336,21.333333333333332,74.66666666666667,32.666666666666664,24.666666666666668,10.0,25.333333333333332,26.0,88.66666666666667,75.33333333333333,86.0,56.0
Rat18,Female,B,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,14.0,16.0,34.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,50.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,18.0,8.0,3.3333333333333335,14.666666666666666,0.0,0.0,19.333333333333332,0.0,0.0,5.333333333333333,0.0,0.0,12.0,9.333333333333334,11.333333333333334,32.0,34.0,8.666666666666666,0.0,16.0,12.666666666666666,0.0,3.3333333333333335,10.666666666666666,12.666666666666666,39.333333333333336,36.666666666666664,16.0,29.333333333333332,8.666666666666666,0.0,0.0,32.0,5.333333333333333
Rat19,Female,B,96.0,96.0,68.0,58.0,100.0,100.0,104.0,100.0,86.0,80.0,74.0,92.0,96.0,96.0,10.0,0.0,20.0,28.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,10.0,0.0,42.0,30.0,8.0,38.0,0.0,42.0,40.0,0.0,66.0,26.0,0.0,24.0,42.0,0.0,26.0,0.0,20.0,22.0,81.33333333333333,25.333333333333332,26.0,98.0,97.33333333333333,96.66666666666667,96.0,84.0,95.33333333333333,96.66666666666667,94.66666666666667,94.66666666666667,90.66666666666667,46.0,46.666666666666664,7.333333333333333,5.333333333333333,14.666666666666666,4.666666666666667,3.3333333333333335,12.666666666666666,21.333333333333332,36.666666666666664,16.666666666666668,17.333333333333332,13.333333333333334,11.333333333333334,38.0,22.666666666666668,40.0,8.0,26.0,13.333333333333334,42.666666666666664,38.0,12.666666666666666,12.666666666666666,35.333333333333336,22.0,37.333333333333336,27.333333333333332,28.0,18.666666666666668,36.666666666666664,26.666666666666668
Rat2,Male,A,10.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,22.0,40.0,36.0,0.0,10.0,12.0,32.0,50.0,94.0,12.0,10.0,10.0,24.0,0.0,0.0,14.0,36.0,24.0,72.0,12.0,46.0,16.0,40.0,10.0,16.0,64.0,32.0,0.0,0.0,26.0,10.666666666666666,0.0,10.0,28.0,7.333333333333333,6.666666666666667,4.0,4.0,10.666666666666666,0.0,3.3333333333333335,0.0,25.333333333333332,11.333333333333334,28.666666666666668,34.666666666666664,20.666666666666668,24.0,19.333333333333332,0.0,24.0,20.666666666666668,59.333333333333336,38.0,3.3333333333333335,11.333333333333334,10.666666666666666,22.666666666666668,26.0,10.666666666666666,56.666666666666664,15.333333333333334,18.0,45.333333333333336,32.0,36.0,10.0,11.333333333333334,4.0,12.666666666666666,29.333333333333332,32.0,10.0,18.0,0.0
Rat20,Female,B,84.0,98.0,94.0,78.0,100.0,96.0,90.0,100.0,88.0,88.0,12.0,100.0,104.0,98.0,104.0,86.0,88.0,98.0,82.0,86.0,94.0,82.0,36.0,20.0,2.0,0.0,40.0,0.0,0.0,40.0,26.0,34.0,16.0,0.0,50.0,50.0,70.0,74.0,48.0,74.0,0.0,80.0,16.0,106.0,68.0,90.66666666666667,97.33333333333333,94.0,99.33333333333333,98.0,81.33333333333333,89.33333333333333,87.33333333333333,100.0,35.333333333333336,67.33333333333333,95.33333333333333,99.33333333333333,96.66666666666667,83.33333333333333,83.33333333333333,89.33333333333333,84.66666666666667,80.66666666666667,84.0,90.66666666666667,88.66666666666667,15.333333333333334,58.666666666666664,24.0,6.666666666666667,39.333333333333336,17.333333333333332,6.666666666666667,5.333333333333333,4.0,0.0,20.0,9.333333333333334,68.66666666666667,52.0,23.333333333333332,58.666666666666664,74.66666666666667,20.666666666666668,48.666666666666664,29.333333333333332,60.666666666666664,30.0,31.333333333333332
Rat21,Female,B,10.0,34.0,0.0,12.0,58.0,98.0,98.0,100.0,86.0,54.0,64.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,42.0,0.0,0.0,0.0,12.0,38.0,92.0,24.0,0.0,0.0,0.0,10.0,0.0,0.0,48.666666666666664,60.0,85.33333333333333,100.0,100.0,100.0,100.0,73.33333333333333,68.0,39.333333333333336,44.0,24.0,5.333333333333333,0.0,0.0,0.0,4.0,0.0,0.0,0.0,22.666666666666668,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0,7.333333333333333,12.0,0.0,0.0,11.333333333333334,53.333333333333336,14.0,21.333333333333332,3.3333333333333335,0.0,11.333333333333334,3.3333333333333335,8.0
Rat3,Male,A,30.0,22.0,28.0,28.0,30.0,16.0,34.0,18.0,66.0,40.0,10.0,10.0,40.0,44.0,0.0,58.0,52.0,32.0,40.0,26.0,82.0,54.0,32.0,56.0,6.0,90.0,22.0,58.0,96.0,100.0,58.0,56.0,16.0,42.0,22.0,54.0,34.0,92.0,84.0,30.0,0.0,0.0,0.0,80.0,50.0,0.0,21.333333333333332,23.333333333333332,30.666666666666668,1.3333333333333333,32.0,47.333333333333336,28.0,94.0,29.333333333333332,8.666666666666666,54.666666666666664,20.666666666666668,26.0,18.666666666666668,30.0,56.666666666666664,54.0,73.33333333333333,55.333333333333336,40.666666666666664,65.33333333333333,75.33333333333333,84.0,16.0,44.666666666666664,60.666666666666664,92.0,97.33333333333333,72.0,20.0,77.33333333333333,40.666666666666664,16.666666666666668,70.0,13.333333333333334,77.33333333333333,92.0,63.333333333333336,48.0,76.0,7.333333333333333,44.0,21.333333333333332,64.0
Rat4,Male,A,62.0,84.0,88.0,90.0,100.0,80.0,100.0,84.0,62.0,82.0,78.0,38.0,0.0,34.0,58.0,18.0,38.0,0.0,10.0,12.0,14.0,0.0,12.0,10.0,14.0,10.0,0.0,0.0,0.0,0.0,12.0,38.0,18.0,54.0,0.0,38.0,0.0,12.0,0.0,0.0,0.0,12.0,34.0,100.0,50.0,3.3333333333333335,81.33333333333333,98.0,91.33333333333333,99.33333333333333,93.33333333333333,89.33333333333333,98.66666666666667,82.66666666666667,70.66666666666667,18.666666666666668,24.0,12.0,26.0,6.0,25.333333333333332,8.0,5.333333333333333,10.0,0.0,12.666666666666666,6.0,15.333333333333334,11.333333333333334,0.0,18.0,24.0,25.333333333333332,4.666666666666667,0.0,0.0,0.0,13.333333333333334,24.0,0.0,37.333333333333336,22.0,3.3333333333333335,9.333333333333334,19.333333333333332,63.333333333333336,97.33333333333333,102.66666666666667,49.333333333333336,87.33333333333333
Rat5,Male,A,64.0,92.0,80.0,86.0,38.0,0.0,46.0,52.0,78.0,82.0,20.0,0.0,26.0,0.0,48.0,0.0,10.0,34.0,0.0,18.0,100.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,22.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,24.0,0.0,10.0,0.0,0.0,18.0,99.33333333333333,70.66666666666667,99.33333333333333,14.666666666666666,60.0,88.0,79.33333333333333,98.66666666666667,20.666666666666668,11.333333333333334,4.0,48.666666666666664,18.666666666666668,10.0,0.0,0.0,0.0,26.666666666666668,37.333333333333336,2.6666666666666665,0.0,0.0,13.333333333333334,6.0,0.0,0.0,0.0,4.666666666666667,18.666666666666668,0.0,0.0,10.0,0.0,20.0,0.0,14.0,0.0,20.0,0.0,18.0,16.0,4.0,3.3333333333333335,8.0
Rat6,Male,A,30.0,52.0,56.0,78.0,58.0,70.0,40.0,12.0,52.0,34.0,30.0,30.0,54.0,52.0,100.0,90.0,98.0,72.0,42.0,44.0,32.0,90.0,96.0,16.0,20.0,0.0,50.0,8.0,84.0,62.0,100.0,80.0,64.0,32.0,50.0,10.0,78.0,48.0,42.0,100.0,44.0,100.0,102.0,100.0,50.0,42.0,35.333333333333336,35.333333333333336,74.0,75.33333333333333,44.666666666666664,0.0,14.666666666666666,6.666666666666667,10.666666666666666,26.666666666666668,21.333333333333332,47.333333333333336,90.66666666666667,94.66666666666667,98.0,29.333333333333332,24.0,76.0,74.0,53.333333333333336,75.33333333333333,72.66666666666667,58.0,22.0,6.0,34.0,14.0,56.0,81.33333333333333,50.666666666666664,77.33333333333333,12.0,29.333333333333332,20.666666666666668,40.0,88.66666666666667,71.33333333333333,78.66666666666667,68.66666666666667,95.33333333333333,86.66666666666667,97.33333333333333,44.666666666666664,94.66666666666667
Rat7,Female,A,0.0,0.0,12.0,22.0,4.0,30.0,88.0,90.0,94.0,74.0,34.0,0.0,0.0,12.0,0.0,30.0,18.0,66.0,74.0,18.0,84.0,32.0,100.0,100.0,96.0,0.0,0.0,54.0,0.0,0.0,42.0,100.0,86.0,92.0,88.0,16.0,0.0,42.0,78.0,0.0,0.0,14.0,54.0,92.0,100.0,10.0,11.333333333333334,22.666666666666668,36.0,19.333333333333332,72.66666666666667,97.33333333333333,91.33333333333333,100.0,92.66666666666667,4.0,0.0,4.0,3.3333333333333335,12.0,0.0,52.666666666666664,92.66666666666667,3.3333333333333335,65.33333333333333,96.0,43.333333333333336,85.33333333333333,98.66666666666667,87.33333333333333,14.0,25.333333333333332,0.0,4.666666666666667,21.333333333333332,80.66666666666667,86.0,96.0,91.33333333333333,100.66666666666667,32.0,3.3333333333333335,3.3333333333333335,5.333333333333333,7.333333333333333,74.66666666666667,82.0,22.0,82.0,98.66666666666667
Rat8,Female,A,78.0,84.0,52.0,94.0,92.0,80.0,84.0,66.0,64.0,68.0,54.0,72.0,76.0,42.0,42.0,60.0,40.0,66.0,42.0,70.0,92.0,72.0,66.0,30.0,32.0,44.0,0.0,28.0,42.0,78.0,98.0,88.0,48.0,48.0,38.0,54.0,54.0,34.0,24.0,62.0,44.0,68.0,44.0,72.0,98.0,11.333333333333334,28.666666666666668,79.33333333333333,82.0,74.66666666666667,38.666666666666664,56.666666666666664,31.333333333333332,43.333333333333336,66.0,57.333333333333336,95.33333333333333,26.0,13.333333333333334,47.333333333333336,26.666666666666668,39.333333333333336,20.666666666666668,42.0,42.0,77.33333333333333,68.0,54.666666666666664,37.333333333333336,45.333333333333336,40.666666666666664,40.0,45.333333333333336,70.0,56.666666666666664,50.666666666666664,66.0,40.666666666666664,48.666666666666664,13.333333333333334,48.666666666666664,28.666666666666668,14.666666666666666,72.0,43.333333333333336,60.0,41.333333333333336,38.666666666666664,88.66666666666667,92.66666666666667
Rat9,Female,A,94.0,80.0,92.0,100.0,94.0,50.0,90.0,82.0,92.0,98.0,88.0,0.0,66.0,0.0,28.0,0.0,28.0,12.0,64.0,0.0,78.0,0.0,72.0,50.0,24.0,26.0,72.0,24.0,72.0,72.0,74.0,68.0,56.0,74.0,62.0,90.0,100.0,100.0,58.0,84.0,90.0,80.0,100.0,10.0,28.0,96.0,100.0,100.0,84.0,93.33333333333333,84.66666666666667,94.0,90.66666666666667,86.66666666666667,97.33333333333333,93.33333333333333,20.0,18.0,15.333333333333334,22.666666666666668,20.0,4.0,38.0,20.666666666666668,9.333333333333334,25.333333333333332,54.0,36.0,32.0,36.0,86.66666666666667,49.333333333333336,66.66666666666667,42.666666666666664,56.0,34.666666666666664,28.666666666666668,27.333333333333332,48.666666666666664,88.0,82.0,90.0,41.333333333333336,76.0,51.333333333333336,83.33333333333333,86.66666666666667,62.0,19.333333333333332,19.333333333333332
