Rat21,Rat6,Rat11,Rat5,Rat20,Rat16,Rat10
1.953125,34.521484,2.392578,79.101563,67.626953,99.951172,97.070313
3.125,71.582031,27.636719,4.785156,11.425781,99.21875,38.525391
6.982422,77.880859,30.761719,31.591796999999996,17.675781,98.828125,94.824219
3.515625,1.6601560000000002,23.193359,0.09765599999999999,99.951172,99.951172,19.677734
10.498047,22.167969,18.457031,9.863281,78.173828,99.951172,99.951172
5.761719,39.306641,8.837891,1.5625,55.322266000000006,98.388672,77.294922
8.056641,99.951172,1.025391,19.140625,98.339844,99.121094,98.046875
0.9277340000000001,51.708984,16.259766,17.285156,51.806641,7.128906,20.214844
0.488281,99.316406,19.677734,11.474609,33.59375,1.9042970000000001,90.576172
86.328125,33.349609,2.929688,9.277344,27.978516,43.994141,90.869141
99.267578,68.505859,25.439453,22.607422,22.949219,28.466796999999996,43.652344
99.365234,5.810547,46.09375,16.845703,63.134766000000006,99.951172,99.951172
99.511719,27.392578000000004,15.283203,46.533203,81.005859,46.435547,62.255858999999994
99.511719,5.615234,99.169922,27.001953000000004,12.011719,58.398438,98.681641
99.511719,13.623047,3.955078,28.222656,14.111328,98.779297,40.136719
99.511719,0.488281,66.601563,6.8359380000000005,16.552734,24.316406,73.242188
99.511719,29.6875,14.013672,14.941406,3.8085940000000003,99.951172,12.158203
99.511719,3.076172,54.6875,2.832031,17.333984,29.785156,61.376953
99.414063,1.025391,70.898438,39.111328,29.296875,46.484375,22.412109
99.707031,18.408203,16.357422,4.980469,33.154297,99.951172,61.23046899999999
99.951172,3.515625,5.908203,13.037109,35.009766,16.113281,99.951172
91.455078,15.771484,14.746094,0.244141,9.765625,98.730469,87.255859
98.876953,22.167969,20.410156,27.783203000000004,33.007813,68.017578,98.4375
99.951172,17.578125,26.904296999999996,1.5625,13.183594,11.523438,22.363281
99.951172,2.34375,15.136719,1.806641,12.207031,3.466797,5.712891
98.779297,2.490234,3.6621089999999996,13.378906,4.980469,3.7597660000000004,19.53125
97.509766,25.341797,16.210938,10.644531,92.1875,5.029297,95.654297
98.291016,35.351563,52.099609,26.123047,87.011719,5.322266,71.289063
74.951172,7.2265630000000005,33.691406,11.572266,64.013672,8.789063,8.886719
99.951172,7.03125,31.005859,0.585938,21.923828,94.580078,1.3671879999999998
86.132813,97.705078,98.828125,15.966797,45.703125,13.916016,2.587891
90.966797,55.908203,80.712891,3.6132809999999997,7.324219,99.951172,10.351563
99.951172,98.4375,28.710938,5.908203,24.951172,40.185547,14.599609
99.951172,13.476563,99.951172,14.648438,22.509766,99.21875,15.283203
99.951172,99.951172,99.951172,12.207031,12.597656,18.261719,5.908203
99.121094,84.277344,99.951172,8.691406,13.574219,99.951172,11.230469
99.023438,98.583984,25.0,2.636719,62.695313,32.958984,2.490234
42.089844,78.320313,76.660156,9.960938,66.259766,40.380859,0.048827999999999996
99.951172,99.951172,2.539063,70.3125,87.207031,23.388672,0.19531300000000001
99.951172,98.779297,24.609375,22.705078,29.931641,25.927734,2.832031
99.951172,99.169922,9.228516,99.951172,98.193359,85.839844,38.525391
73.535156,94.873047,99.951172,37.011719,89.257813,2.099609,55.126953
76.464844,99.951172,99.951172,99.023438,50.927734,87.011719,98.925781
88.085938,50.830078,99.951172,99.21875,33.984375,98.242188,14.257813
35.302734,42.675781,60.205078,99.267578,7.714844,43.798828,22.265625
17.382813,19.238281,99.365234,99.365234,44.873047,61.083983999999994,48.730469
2.978516,3.857422,26.220703000000004,6.005859,58.349608999999994,98.730469,29.736328000000004
25.048828,5.615234,99.951172,99.316406,24.365234,98.632813,99.951172
33.154297,13.085938,20.507813,99.169922,40.136719,99.951172,99.951172
99.951172,38.232422,48.339844,99.951172,84.326172,99.951172,98.828125
99.951172,38.378906,58.837891000000006,99.951172,38.232422,99.169922,79.150391
99.951172,14.84375,63.330078,99.951172,51.513672,99.951172,99.951172
